dataset,knnacc,knnbac,gnbacc,gnbbac,dtcacc,dtcbac,mlpacc,mlpbac,svcacc,svcbac
balance,0.89546666666666663,0.77084490911119519,0.89973333333333338,0.76598827037142214,0.82879999999999998,0.71886933850859247,0.7533333333333333,0.64032021932943295,0.92000000000000015,0.78139904251186432
ionosphere,0.79918403660396553,0.72865060898656797,0.89032536858159639,0.8622807757024219,0.86323843416370105,0.85150849723551081,0.73079816980172851,0.63831800300663333,0.71655312658871373,0.6082625074927851
syntetic100f,0.90675000000000006,0.56069226851185738,0.92149999999999999,0.7670381797898973,0.90649999999999997,0.77083029786327606,0.92099999999999993,0.78867200876638266,0.89600000000000013,0.5
syntetic10f,0.92725000000000013,0.70858130266423025,0.91349999999999998,0.84518186743803769,0.90175000000000005,0.74552535527651931,0.92925000000000002,0.77078814132119744,0.89300000000000002,0.5
syntetic200f,0.89624999999999999,0.51054202484216249,0.91399999999999992,0.62322494585471344,0.9557500000000001,0.87149883095491898,0.89800000000000002,0.5,0.89800000000000002,0.5
syntetic20f,0.89900000000000002,0.56168642500963828,0.89800000000000002,0.77099759265750589,0.88424999999999998,0.6819706899434308,0.876,0.72177382866184969,0.89499999999999991,0.5
syntetic500f,0.89649999999999996,0.50196618039600438,0.89900000000000002,0.5,0.86449999999999994,0.66786178309269206,0.89900000000000002,0.5,0.89900000000000002,0.5
syntetic50f,0.89750000000000019,0.5469129861640567,0.91549999999999998,0.77508766908259408,0.95150000000000001,0.86803592789365747,0.89500000000000013,0.5,0.89500000000000013,0.5
syntetic5f,0.98224999999999996,0.92664818587390785,0.96875,0.94830137901194822,0.96799999999999997,0.9271094294874066,0.97825000000000006,0.92629211265118183,0.93925000000000003,0.71640767896250934
wisconsin,0.95600690007666744,0.94896896758083327,0.95278941988244303,0.95718147566070688,0.92060759008433435,0.90783176735720938,0.65665346281625347,0.5,0.95886979299770003,0.95392942430930405
yeast3,0.94659796504783866,0.82424891658052191,0.21644683283267949,0.55653286747801334,0.9307595755363236,0.83483426882513145,0.92958920856983196,0.7697849931616314,0.8901620813583746,0.5
