dataset,knnacc,knnbac,gnbacc,gnbbac,dtcacc,dtcbac,mlpacc,mlpbac,svcacc,svcbac
balance,\color{red!75!black} \oldstylenums{0.895},\color{red!75!black} \oldstylenums{0.771}, \oldstylenums{0.900}, \oldstylenums{0.766}, \oldstylenums{0.827}, \oldstylenums{0.720}, \oldstylenums{0.753}, \oldstylenums{0.640},\color{red!75!black} \oldstylenums{0.920},\color{red!75!black} \oldstylenums{0.781}
ionosphere, \oldstylenums{0.799}, \oldstylenums{0.729},\color{red!75!black} \oldstylenums{0.890},\color{red!75!black} \oldstylenums{0.862},\color{red!75!black} \oldstylenums{0.863},\color{red!75!black} \oldstylenums{0.845}, \oldstylenums{0.731}, \oldstylenums{0.638}, \oldstylenums{0.717}, \oldstylenums{0.608}
syntetic100f, \oldstylenums{0.907}, \oldstylenums{0.561},\color{red!75!black} \oldstylenums{0.921},\color{red!75!black} \oldstylenums{0.767},\color{red!75!black} \oldstylenums{0.910},\color{red!75!black} \oldstylenums{0.776},\color{red!75!black} \oldstylenums{0.921},\color{red!75!black} \oldstylenums{0.789}, \oldstylenums{0.896}, \oldstylenums{0.500}
syntetic10f, \oldstylenums{0.927}, \oldstylenums{0.709},\color{red!75!black} \oldstylenums{0.913},\color{red!75!black} \oldstylenums{0.845}, \oldstylenums{0.907}, \oldstylenums{0.757}, \oldstylenums{0.929}, \oldstylenums{0.771}, \oldstylenums{0.893}, \oldstylenums{0.500}
syntetic200f, \oldstylenums{0.896}, \oldstylenums{0.511}, \oldstylenums{0.914}, \oldstylenums{0.623},\color{red!75!black} \oldstylenums{0.953},\color{red!75!black} \oldstylenums{0.868}, \oldstylenums{0.898}, \oldstylenums{0.500}, \oldstylenums{0.898}, \oldstylenums{0.500}
syntetic20f, \oldstylenums{0.899}, \oldstylenums{0.562},\color{red!75!black} \oldstylenums{0.898},\color{red!75!black} \oldstylenums{0.771}, \oldstylenums{0.886}, \oldstylenums{0.691}, \oldstylenums{0.876}, \oldstylenums{0.722}, \oldstylenums{0.895}, \oldstylenums{0.500}
syntetic500f, \oldstylenums{0.896}, \oldstylenums{0.502}, \oldstylenums{0.899}, \oldstylenums{0.500},\color{red!75!black} \oldstylenums{0.867},\color{red!75!black} \oldstylenums{0.664}, \oldstylenums{0.899}, \oldstylenums{0.500}, \oldstylenums{0.899}, \oldstylenums{0.500}
syntetic50f, \oldstylenums{0.898}, \oldstylenums{0.547}, \oldstylenums{0.915}, \oldstylenums{0.775},\color{red!75!black} \oldstylenums{0.948},\color{red!75!black} \oldstylenums{0.862}, \oldstylenums{0.895}, \oldstylenums{0.500}, \oldstylenums{0.895}, \oldstylenums{0.500}
syntetic5f, \oldstylenums{0.982}, \oldstylenums{0.927},\color{red!75!black} \oldstylenums{0.969},\color{red!75!black} \oldstylenums{0.948}, \oldstylenums{0.967}, \oldstylenums{0.927}, \oldstylenums{0.978}, \oldstylenums{0.926}, \oldstylenums{0.939}, \oldstylenums{0.716}
wisconsin, \oldstylenums{0.956}, \oldstylenums{0.949},\color{red!75!black} \oldstylenums{0.953},\color{red!75!black} \oldstylenums{0.957}, \oldstylenums{0.919}, \oldstylenums{0.905}, \oldstylenums{0.657}, \oldstylenums{0.500},\color{red!75!black} \oldstylenums{0.959},\color{red!75!black} \oldstylenums{0.954}
yeast3,\color{red!75!black} \oldstylenums{0.947},\color{red!75!black} \oldstylenums{0.824}, \oldstylenums{0.216}, \oldstylenums{0.557},\color{red!75!black} \oldstylenums{0.930},\color{red!75!black} \oldstylenums{0.840},\color{red!75!black} \oldstylenums{0.930},\color{red!75!black} \oldstylenums{0.770}, \oldstylenums{0.890}, \oldstylenums{0.500}
